Date : 2024-12-07 12:21:34
Directory : c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0
Total : 79 files,  29159 codes, 335 comments, 1150 blanks, all 30644 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          5 |     24,921 |          0 |          5 |     24,926 |
| JavaScript |         64 |      3,857 |        285 |      1,031 |      5,173 |
| CSS        |          7 |        319 |         27 |         77 |        423 |
| Markdown   |          2 |         40 |          0 |         34 |         74 |
| HTML       |          1 |         22 |         23 |          3 |         48 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |         79 |     29,159 |        335 |      1,150 |     30,644 |
| . (Files)                                                                                                      |          1 |          2 |          0 |          1 |          3 |
| back                                                                                                           |         26 |      5,903 |         91 |        409 |      6,403 |
| back (Files)                                                                                                   |          2 |      5,013 |          0 |          2 |      5,015 |
| back\src                                                                                                       |         18 |        474 |         41 |        206 |        721 |
| back\src\config                                                                                                |          3 |         44 |         13 |         18 |         75 |
| back\src\controllers                                                                                           |          7 |        360 |          3 |        129 |        492 |
| back\src\routes                                                                                                |          8 |         70 |         25 |         59 |        154 |
| back\tests                                                                                                     |          6 |        416 |         50 |        201 |        667 |
| front                                                                                                          |         52 |     23,254 |        244 |        740 |     24,238 |
| front (Files)                                                                                                  |          3 |     19,921 |          0 |         35 |     19,956 |
| front\public                                                                                                   |          2 |         47 |         23 |          4 |         74 |
| front\src                                                                                                      |         47 |      3,286 |        221 |        701 |      4,208 |
| front\src (Files)                                                                                              |          7 |        133 |          8 |         38 |        179 |
| front\src\cargarProductos                                                                                      |          5 |        592 |         47 |        141 |        780 |
| front\src\componentes                                                                                          |          7 |        293 |         10 |         52 |        355 |
| front\src\contenedores                                                                                         |          5 |        399 |         35 |         88 |        522 |
| front\src\css                                                                                                  |          5 |        302 |         26 |         72 |        400 |
| front\src\reservas                                                                                             |          8 |        634 |         45 |        128 |        807 |
| front\src\tiendas                                                                                              |          6 |        562 |         30 |        113 |        705 |
| front\src\usuarios                                                                                             |          4 |        371 |         20 |         69 |        460 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                       | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\README.md                                         | Markdown   |          2 |          0 |          1 |          3 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\package-lock.json                            | JSON       |      4,989 |          0 |          1 |      4,990 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\package.json                                 | JSON       |         24 |          0 |          1 |         25 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\src\config\app.js                            | JavaScript |         23 |          6 |          6 |         35 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\src\config\database.js                       | JavaScript |          8 |          4 |          3 |         15 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\src\config\index.js                          | JavaScript |         13 |          3 |          9 |         25 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\src\controllers\cargarControllers.js         | JavaScript |         19 |          0 |          8 |         27 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\src\controllers\contenedorControllers.js     | JavaScript |         64 |          0 |         19 |         83 |
| c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\src\controllers\historicoControllers.js      | JavaScript |         33 |          0 |         14 |         47 |
